Region,Source,Year,Data,Unit
QC,Nuclear,2015,0,GW.h
QC,Coal,2015,0,GW.h
QC,Natural Gas,2015,100,GW.h
QC,Oil and Diesel,2015,518.3,GW.h
QC,Hydro,2016,197242.876,GW.h
QC,Wind,2016,7359.874,GW.h
QC,Biomass,2016,2092.898,GW.h
QC,Solar,2016,1.488,GW.h
QC,Nuclear,2016,0,GW.h
QC,Coal,2016,0,GW.h
QC,Natural Gas,2016,65.041,GW.h
QC,Oil and Diesel,2016,423.69,GW.h
NB,Hydro,2005,3875,GW.h
NB,Wind,2005,0,GW.h
NB,Biomass,2005,610,GW.h
NB,Solar,2005,0,GW.h
NB,Nuclear,2005,4378,GW.h
NB,Coal,2005,2921.5,GW.h
NB,Natural Gas,2005,1980,GW.h
NB,Oil and Diesel,2005,7299.9,GW.h
NB,Hydro,2006,3731,GW.h
NB,Wind,2006,0,GW.h
NB,Biomass,2006,610,GW.h
NB,Solar,2006,0,GW.h
NB,Nuclear,2006,4366,GW.h
NB,Coal,2006,2928.4,GW.h
NB,Natural Gas,2006,2332,GW.h
NB,Oil and Diesel,2006,4237.2,GW.h
NB,Hydro,2007,2793.761,GW.h
NB,Wind,2007,0,GW.h
NB,Biomass,2007,562,GW.h
NB,Solar,2007,0,GW.h
NB,Nuclear,2007,4119,GW.h
NB,Coal,2007,2914.4,GW.h
NB,Natural Gas,2007,1876,GW.h
